Text,Intent
I want to raise the temperature in the bedroom.,ac_off
It's getting too cold to sleep.,ac_off
It's not too hot anymore.,ac_off
I'm feeling fine now.,ac_off
Turn off the AC unit.,ac_off
Could you turn off the air conditioning?,ac_off
I'm no longer feeling too hot.,ac_off
Make it warmer in here.,ac_off
Deactivate the AC in the guest room.,ac_off
It's getting cool outside.,ac_off
I want to turn off the AC.,ac_off
It's time to turn off the air conditioning.,ac_off
I don't need to cool down anymore.,ac_off
It's getting chilly in here.,ac_off
Let's turn off the AC in the den.,ac_off
I want to turn off the AC in the library.,ac_off
Deactivate the AC in the game room.,ac_off
It's time to conserve energy.,ac_off
I'm feeling a bit cold now.,ac_off
Turn off the air conditioning in the study.,ac_off
I don't need to cool down the basement anymore.,ac_off
It's getting more comfortable.,ac_off
It's getting chilly outside.,ac_off
"Turn on the vent, please.",vent_on
I need some fresh air.,vent_on
Activate the ventilation in the kitchen.,vent_on
"It's stuffy in here, could you turn on the vent?",vent_on
Let's circulate some air.,vent_on
Turn on the vent in the bathroom.,vent_on
I want to ventilate the room.,vent_on
Could you open the vent to improve airflow?,vent_on
Can you activate the vent in the basement?,vent_on
It's time to turn on the vent.,vent_on
I want to get rid of this stale air.,vent_on
"Turn on the ventilation in the office, please.",vent_on
Can you turn on the vent in the laundry room?,vent_on
I need some air circulation.,vent_on
Let's turn on the vent in the hallway.,vent_on
Activate the vent in the study.,vent_on
I want to ventilate the bedroom.,vent_on
It's getting too humid in here.,vent_on
Can you turn on the vent?,vent_on
I need some fresh air in the den.,vent_on
Turn on the ventilation in the guest room.,vent_on
It's getting stuffy in the library.,vent_on
Can you activate the vent in the playroom?,vent_on
Let's turn on the vent in the game room.,vent_on
I want to ventilate the attic.,vent_on
It's getting too humid to sleep.,vent_on
Can you turn on the vent in the garage?,vent_on
I need some fresh air in the patio.,vent_on
Turn on the ventilation in the basement.,vent_on
It's getting too stuffy to work.,vent_on
I want to ventilate the bathroom.,vent_on
Activate the vent in the kitchen.,vent_on
"Turn off the vent, please.",vent_off
It's getting breezy in here.,vent_off
Deactivate the ventilation in the kitchen.,vent_off
I want to stop ventilating the room.,vent_off
Let's turn off the vent.,vent_off
Turn off the vent in the bathroom.,vent_off
It's getting too windy in here.,vent_off
Could you close the vent to prevent drafts?,vent_off
I want to retain moisture in the room.,vent_off
Deactivate the vent in the basement.,vent_off
It's time to turn off the vent.,vent_off
I don't need any more ventilation.,vent_off
"Turn off the ventilation in the office, please.",vent_off
It's getting too breezy.,vent_off
Could you deactivate the vent in the laundry room?,vent_off
I want to stop the air circulation.,vent_off
Let's turn off the vent in the hallway.,vent_off
Deactivate the vent in the study.,vent_off
It's getting too windy outside.,vent_off
Can you turn off the vent?,vent_off
I want to stop ventilating the den.,vent_off
Turn off the ventilation in the guest room.,vent_off
It's getting too breezy in the library.,vent_off
Can you deactivate the vent in the playroom?,vent_off
Let's turn off the vent in the game room.,vent_off
I want to stop ventilating the attic.,vent_off
Can you turn off the vent in the garage?,vent_off
I want to stop ventilating the patio.,vent_off
Turn off the ventilation in the basement.,vent_off
It's getting too windy to work.,vent_off
I want to stop ventilating the bathroom.,vent_off
Let's stop circulating air.,vent_off
Deactivate the vent in the kitchen.,vent_off
"Turn on the fan, please.",fan_on
Activate the fan in the living room.,fan_on
"It's warm in here, could you turn on the fan?",fan_on
Let's create some airflow.,fan_on
Turn on the fan in the bedroom.,fan_on
I want to feel a breeze.,fan_on
Could you adjust the fan speed to low?,fan_on
Diverse Electric Automation Intent Commands:,fan_on
Illuminate the hallway.,light_on
"Turn on the lights in the kitchen, please.",light_on
I need more light in the bathroom.,light_on
"It's getting dark, switch on the lights.",light_on
Can you turn on the overhead lights?,light_on
Let's brighten up the space.,light_on
Could you illuminate the bedroom for me?,light_on
Time to make it brighter in here.,light_on
"I need to see better, turn on the lights.",light_on
Activate the lights in the guest room.,light_on
"I can't see anything, please switch on the lights.",light_on
"Brighten up the hallway, please.",light_on
Make it brighter in the living room.,light_on
"It's too dark to read, turn on the lights.",light_on
Can you switch on the bedside lamp?,light_on
"I'd like a little more light, please.",light_on
Switch on the reading light.,light_on
Turn on the lamp next to the couch.,light_on
Could you turn on the lights in the study?,light_on
"I'd like to see what I'm doing, can you turn on the lights?",light_on
Make it bright enough for me to see.,light_on
I need some light to work.,light_on
Turn on the lamps on the coffee table.,light_on
"It's getting difficult to see, turn on the lights.",light_on
Can you turn on the lights in the dining room?,light_on
"It's getting late, turn on the lights.",light_on
"I'm having trouble seeing, switch on the lights.",light_on
Make it bright enough to read.,light_on
I'd like some light for the evening.,light_on
Can you switch on the lights in the closet?,light_on
I need some light to find things.,light_on
"Turn on the lights in the entryway, please.",light_on
"I need to see where I'm going, turn on the lights.",light_on
"It's getting dark, can you switch on the lights?",light_on
Turn on the lights in the garage.,light_on
Make it bright enough for me to work in the garage.,light_on
I'd like some light to see what's in the garage.,light_on
Can you switch on the lights in the attic?,light_on
I need to see what's up there.,light_on
"It's dark, can you switch on the lights in the basement?",light_on
"Turn on the porch lights, please.",light_on
It's getting dark outside.,light_on
Can you turn on the lights in the backyard?,light_on
It's time to light up the patio.,light_on
Turn on the Christmas lights.,light_on
"It's the holidays, let's light up the house!",light_on
Switch on the lights in the garden.,light_on
I want to see the flowers better.,light_on
Can you turn on the lights in the driveway?,light_on
"I'm coming home late, can you make it brighter?",light_on
It's time to illuminate the path.,light_on
Please switch off the lights in the living room.,light_off
"It's too bright, can you dim the lights?",light_off
"Turn off the lights, it's bedtime.",light_off
"Deactivate the lighting in the hallway, please.",light_on
"Time to dim the lights, it's movie night.",light_off
Can you flip the switch to turn off the kitchen lights?,light_off
"I want to conserve energy, turn off the lights.",light_on
"It's morning, turn off the porch lights.",light_off
"Switch off the lights, I'm leaving the room.",light_off
Can you turn off the lights in the dining room?,light_off
"It's time to go to sleep, please turn off the lights.",light_off
Make it darker in here.,light_off
"I want to sleep, please turn off the lights.",light_off
"Dim the lights, it's time to relax.",light_off
"It's a little too bright, turn off the lights.",light_off
I need to create a more calming atmosphere.,light_off
Can you switch off the lights in the bathroom?,light_off
"It's getting late, please switch off the lights.",light_off
"Time to turn off the lights, it's getting late.",light_off
"I'm ready for bed, turn off the lights.",light_off
"It's time for bed, please turn off the lights.",light_off
Can you turn off the lights in the study?,light_off
"It's time to unwind, turn off the lights.",light_off
"It's too bright for me to sleep, turn off the lights.",light_off
"Dim the lights, please.",light_off
"It's too bright to read, turn off the lights.",light_off
Can you switch off the lights in the guest room?,light_off
"It's getting late, turn off the lights in the garage.",light_off
"I'm leaving the garage, please switch off the lights.",light_off
"I'm going to bed, turn off the lights in the attic.",light_off
"It's dark enough now, switch off the lights in the basement.",light_off
Can you switch off the lights in the backyard?,light_off
It's time to turn off the Christmas lights.,light_off
Can you switch off the lights in the garden?,light_off
"It's getting late, turn off the lights in the driveway.",light_off
Turn on the air conditioning in the living room.,ac_on
Please activate the AC in the bedroom.,ac_on
"It's hot in here, can you cool down the room?",ac_on
"Turn on the AC, it's too warm.",ac_on
"Activate the air conditioning in the office, please.",ac_on
"Time to chill, turn on the air conditioning.",ac_on
Can you adjust the thermostat to cool the room?,ac_on
"I want to lower the temperature, turn on the AC.",ac_on
"It's sweltering, turn on the air conditioning unit.",ac_on
"Switch on the AC, it's getting humid.",ac_on
Can you turn on the AC in the bathroom?,ac_on
"I need the room to be cooler, please turn on the AC.",ac_on
"It's too warm for me, please turn on the AC.",ac_on
"I can't stand the heat, please turn on the AC.",ac_on
"Time to cool off, turn on the air conditioning.",ac_on
"I'm sweating, please turn on the AC.",ac_on
"It's too warm to work, turn on the AC.",ac_on
Can you activate the AC in the study?,ac_on
"It's getting hot, please turn on the AC.",ac_on
"I need to cool down, turn on the air conditioning.",ac_on
"It's too hot to sleep, please turn on the AC.",ac_on
"I can't take this heat, turn on the AC.",ac_on
Can you activate the AC in the guest room?,ac_on
"The room is too warm for me, turn on the AC.",ac_on
"It's getting uncomfortable, turn on the air conditioning.",ac_on
"It's too hot, please turn on the AC.",ac_on
Can you turn on the AC in the kitchen?,ac_on
"It's getting muggy, turn on the AC.",ac_on
"I need to cool down, please turn on the AC.",ac_on
"It's too warm, please turn on the air conditioning.",ac_on
Can you activate the AC in the garage?,ac_on
"It's getting hot out there, please turn on the AC.",ac_on
"I need to cool down, turn on the AC in the attic.",ac_on
"It's too warm, please turn on the AC in the basement.",ac_on
Turn off the air conditioning in the living room.,ac_off
Please deactivate the AC in the bedroom.,ac_off
"It's cold now, can you turn off the AC?",ac_off
"Turn off the AC, the room is freezing.",ac_off
"Deactivate the air conditioning in the office, please.",ac_off
"Time to warm up, turn off the air conditioning.",ac_off
Can you adjust the thermostat to turn off the AC?,ac_off
"I want to raise the temperature, turn off the AC.",ac_off
"It's comfortable now, turn off the air conditioning unit.",ac_off
"Switch off the AC, it's too cold.",ac_off
Can you turn off the AC in the bathroom?,ac_off
"It's too cold now, please turn off the AC.",ac_off
"I'm feeling cold, please turn off the AC.",ac_off
"The room is too cold for me, please turn off the AC.",ac_off
"I'm freezing, please turn off the air conditioning.",ac_off
"I want to warm up a little, turn off the AC.",ac_off
Can you deactivate the AC in the study?,ac_off
"It's getting cold in here, turn off the AC.",ac_off
"I'm freezing, please turn off the AC.",ac_off
"I need to warm up, turn off the AC.",ac_off
"It's too cold to sleep, please turn off the AC.",ac_off
Can you deactivate the AC in the guest room?,ac_off
"I want to warm up, turn off the AC.",ac_off
"The room is too cold for me, turn off the AC.",ac_off
"I'm feeling chilled, please turn off the AC.",ac_off
Can you turn off the AC in the kitchen?,ac_off
"The kitchen is too cold, please turn off the AC.",ac_off
"I want to warm up, turn off the AC in the garage.",ac_off
"It's cold enough, turn off the AC in the attic.",ac_off
"I'm feeling cold, please turn off the AC in the basement.",ac_off
Please activate the ventilation in the kitchen.,vent_on
"It's stuffy in here, can you turn on the vent?",vent_on
"Turn on the ventilation, the air feels stale.",vent_on
"Activate the vent in the basement, please.",vent_on
"Time to circulate some air, turn on the vent.",vent_on
Can you open the vent to improve airflow?,vent_on
"I want to ventilate the room, turn on the vent.",vent_on
"It's humid, turn on the vent to reduce moisture.",vent_on
"Switch on the vent, it's getting stuffy.",vent_on
Can you turn on the vent in the bedroom?,vent_on
"I need some fresh air in here, please turn on the vent.",vent_on
"The air is stale, please turn on the vent.",vent_on
Can you activate the vent in the living room?,vent_on
"It's getting stuffy, please turn on the vent.",vent_on
"I'd like to clear the air, turn on the vent.",vent_on
Can you turn on the vent in the office?,vent_on
"The air is stagnant, please turn on the vent.",vent_on
"I need some fresh air, turn on the vent.",vent_on
Can you activate the vent in the study?,vent_on
"The room is stuffy, please turn on the vent.",vent_on
"I'd like to circulate the air, turn on the vent.",vent_on
Can you turn on the vent in the guest room?,vent_on
"I need to air out this room, turn on the vent.",vent_on
Can you activate the vent in the dining room?,vent_on
"The air feels stale, please turn on the vent.",vent_on
"It's getting stuffy in here, turn on the vent in the attic.",vent_on
"I need to air out this room, turn on the vent in the basement.",vent_on
Please deactivate the ventilation in the kitchen.,vent_off
"It's breezy now, can you turn off the vent?",vent_off
"Turn off the ventilation, it's too windy.",vent_off
"Deactivate the vent in the basement, please.",vent_off
"Time to stop circulating air, turn off the vent.",vent_off
Can you close the vent to prevent drafts?,vent_off
"I want to stop ventilating the room, turn off the vent.",vent_off
"It's dry, turn off the vent to retain moisture.",vent_off
"Switch off the vent, it's becoming too breezy.",vent_off
Can you turn off the vent in the bedroom?,vent_off
"It's too breezy now, please turn off the vent.",vent_off
"I'm feeling a little cold, please turn off the vent.",vent_off
Can you deactivate the vent in the living room?,vent_off
"The air is circulating enough, please turn off the vent.",vent_off
"I don't need the vent on anymore, please turn it off.",vent_off
Can you turn off the vent in the office?,vent_off
"It's not stuffy anymore, please turn off the vent.",vent_off
"I don't need to ventilate this room, turn off the vent.",vent_off
Can you deactivate the vent in the study?,vent_off
"The air is clear enough, please turn off the vent.",vent_off
"I'm not feeling stuffy anymore, turn off the vent.",vent_off
Can you turn off the vent in the guest room?,vent_off
"The air is circulating well, please turn off the vent.",vent_off
"I want to keep the air in this room, turn off the vent.",vent_off
Can you deactivate the vent in the dining room?,vent_off
"I'm not feeling stuffy, turn off the vent.",vent_off
"It's not stuffy anymore, turn off the vent in the attic.",vent_off
"I'm not feeling stuffy, turn off the vent in the basement.",vent_off
Please activate the fan in the living room.,fan_on
"It's warm in here, can you turn on the fan?",fan_on
"Turn on the fan, I need some air circulation.",fan_on
"Activate the fan in the office, please.",fan_on
"Time to create some airflow, turn on the fan.",fan_on
Can you adjust the fan speed to low?,fan_on
"I want to feel a breeze, turn on the fan.",fan_on
"It's stuffy, turn on the fan for ventilation.",fan_on
"Switch on the fan, it's getting hot.",fan_on
Can you turn on the fan in the bathroom?,fan_on
"It's getting warm in here, please turn on the fan.",fan_on
"I need some air movement, please turn on the fan.",fan_on
Can you activate the fan in the kitchen?,fan_on
"It's getting stuffy, please turn on the fan.",fan_on
"I'd like to feel a little breeze, turn on the fan.",fan_on
Can you turn on the fan in the study?,fan_on
"The air is stagnant, please turn on the fan.",fan_on
"I need to circulate the air, turn on the fan.",fan_on
Can you activate the fan in the guest room?,fan_on
"The air is getting warm, please turn on the fan.",fan_on
"I'd like a bit of airflow, turn on the fan.",fan_on
Can you turn on the fan in the dining room?,fan_on
"I need some air circulation, turn on the fan.",fan_on
Can you activate the fan in the garage?,fan_on
"It's getting warm in here, turn on the fan in the attic.",fan_on
"I need some air movement, turn on the fan in the basement.",fan_on
Turn off the fan in the bedroom.,fan_off
Please deactivate the fan in the living room.,fan_off
"It's getting cold, can you turn off the fan?",fan_off
"Turn off the fan, it's too noisy.",fan_off
"Deactivate the fan in the office, please.",fan_off
"Time to stop airflow, turn off the fan.",fan_off
"I want to feel quieter, turn off the fan.",fan_off
"It's too breezy, turn off the fan.",fan_off
"Switch off the fan, it's too windy.",fan_off
Can you turn off the fan in the bathroom?,fan_off
"It's too breezy now, please turn off the fan.",fan_off
"I don't need the fan anymore, please turn it off.",fan_off
Can you deactivate the fan in the kitchen?,fan_off
"The air is circulating enough, please turn off the fan.",fan_off
"It's not stuffy anymore, please turn off the fan.",fan_off
Can you turn off the fan in the study?,fan_off
"The air is clear enough, please turn off the fan.",fan_off
"I'm not feeling stuffy anymore, turn off the fan.",fan_off
Can you deactivate the fan in the guest room?,fan_off
"The air is circulating well, please turn off the fan.",fan_off
"I want to keep the air in this room, turn off the fan.",fan_off
Can you deactivate the fan in the dining room?,fan_off
,fan_off
"I'm not feeling stuffy, turn off the fan.",fan_off
Can you turn off the fan in the garage?,fan_off
"It's not stuffy anymore, turn off the fan in the attic.",fan_off
"I'm not feeling stuffy, turn off the fan in the basement.",fan_off
"This list is just a starting point. You can easily modify these commands to create even more diverse examples by changing the location, adding more specific details, or changing the tone and formality.",fan_off
Turn on the lights in the kitchen.,light_on
"Switch on the living room lights, please.",light_on
"Can you illuminate the hallway, please?",light_on
Turn on the bedroom lights.,light_on
Activate the overhead light in the dining room.,light_on
Please brighten the study.,light_on
Could you turn on the lamp on the nightstand?,light_on
Can you flip the switch to light up the porch?,light_on
Could you dim the lights in the dining room?,light_off
"Turn off the lights, it's time to sleep.",light_off
"Dim the lights in the living room, please.",light_off
"Turn off the lamp on the desk, please.",light_on
"I want to set a mood, dim the lights.",light_off
Can you illuminate the path to the front door?,light_on
"Turn on the bedside lamp, please.",light_on
Please switch off the lights in the guest room.,light_off
Can you turn off the lights in the hallway?,light_off
"I'm going to sleep, turn off all the lights.",light_off
"It's getting dark, please turn on the lights in the kitchen.",light_on
Activate the air conditioning in the kitchen.,ac_on
"Time to chill, turn on the AC.",ac_on
"Can you turn off the AC, it's cold now?",ac_off
Deactivate the air conditioning in the office.,ac_on
"Time to warm up, turn off the AC.",ac_off
Turn on the AC in the guest room.,ac_on
Deactivate the AC in the study.,ac_on
Please activate the ventilation in the laundry room.,ac_on
"Can you turn on the fan, it's warm in here?",fan_on
"Can you turn off the fan, it's getting cold?",fan_off
"Turn on the ceiling fan in the dining room, please.",fan_on
Turn off the fan in the bathroom.,fan_off
Please activate the fan in the garage.,fan_on
Turn on the heater in the bedroom.,heater_on
Please switch on the heater in the living room.,heater_on
"Can you turn on the heater, it's a bit chilly?",heater_on
"Activate the heater in the office, please.",ac_on
"Time to warm up, turn on the heater.",heater_on
"It's cold, turn on the heater.",heater_on
"I want to feel warmer, turn on the heater.",heater_on
"It's freezing, turn on the heater.",heater_on
"Switch on the heater, I'm feeling cold.",heater_on
Turn off the heater in the bedroom.,heater_off
Please switch off the heater in the living room.,heater_off
"Can you turn off the heater, it's warm now?",heater_off
"Deactivate the heater in the office, please.",ac_on
"Time to cool down, turn off the heater.",heater_off
"It's too hot, turn off the heater.",heater_off
Can you adjust the thermostat to turn off the heater?,heater_off
"I want to lower the temperature, turn off the heater.",heater_off
"It's comfortable now, turn off the heater.",heater_off
"Switch off the heater, it's too warm.",heater_off
Turn on the heater in the guest room.,heater_on
Deactivate the heater in the study.,ac_on
"Activate the multiplug in the office, please.",ac_on
Can you activate the power strip?,ac_on
"Deactivate the multiplug in the office, please.",ac_on
Can you deactivate the power strip?,ac_on
Deactivate the multiplug in the bathroom.,ac_on
Please activate the multiplug in the basement.,ac_on
Turn on the TV in the bedroom.,tv_on
Please switch on the TV in the living room.,tv_on
"Can you turn on the TV, it's time to watch TV?",tv_on
"Activate the TV in the office, please.",tv_off
"It's movie night, turn on the TV.",tv_on
Can you flip the switch to turn on the TV?,tv_on
"Time to catch up on shows, switch on the TV.",tv_on
"I want to relax and watch TV, turn on the TV.",tv_on
"It's time for entertainment, turn on the TV.",tv_on
"Switch on the TV, I want to see the news.",tv_on
Turn off the TV in the bedroom.,tv_off
Please switch off the TV in the living room.,tv_off
"Can you turn off the TV, it's time to sleep?",tv_off
"Deactivate the TV in the office, please.",tv_off
"It's bedtime, turn off the TV.",tv_off
Can you flip the switch to turn off the TV?,tv_off
"Time to relax without TV, switch off the TV.",tv_off
"I want some peace and quiet, turn off the TV.",tv_off
"It's time to save energy, turn off the TV.",tv_off
"Switch off the TV, I'm done watching.",tv_on
Turn on the TV in the guest room.,tv_on
Can you adjust the volume on the TV?,tv_on
Turn off the TV in the study.,tv_off
Please mute the TV.,tv_off
"I want to see what I'm doing, turn on the lights.",light_on
"It's getting dark in here, can you switch on the lamp?",light_on
"Switch on the lights, I'm having trouble seeing.",light_on
Light up the room!,light_on
"I'm struggling to see, turn on the lights.",light_on
"It's getting dark outside, turn on the patio lights.",light_on
"Turn off the lights, it's time for sleep.",light_off
"Please dim the lights, it's too bright.",light_off
"The lights are too strong, turn them down.",light_on
"Turn off the lamp, I'm heading to bed.",light_off
"Turn off the patio lights, it's getting late.",light_off
"I'm sweating, turn on the AC.",ac_on
"It's too hot in here, can you make it cooler?",ac_on
"I need some relief from the heat, turn on the AC.",ac_on
"Turn off the central AC, it's cold enough.",ac_off
"I'm feeling chilly, turn off the AC.",ac_off
"Turn off the AC in the study, it's getting colder.",ac_off
"I want to conserve energy, turn off the AC.",ac_off
"The air feels stale, turn on the vent.",vent_on
"I don't need any more ventilation, turn off the vent.",vent_off
"Deactivate the ventilation system, it's not needed now.",vent_off
"I want to move some air around, turn on the fan.",fan_on
"Turn off the ceiling fan, it's getting cold.",fan_off
"I don't need the fan anymore, turn it off.",fan_off
"It's a bit chilly, can you turn on the heater?",heater_on
"I need to heat up this area, turn on the heater.",heater_on
"It's warm now, can you turn off the heater?",heater_off
"It's warm enough, turn off the heater.",heater_off
I don't need to heat up this area anymore.,heater_off
"It's time to power up, can you turn on the multiplug?",multiplug_on
"Time to plug in, turn on the multiplug.",multiplug_on
"It's power time, switch on the multiplug.",multiplug_on
"I want to charge my devices, turn on the multiplug.",multiplug_on
"It's time to connect, switch on the multiplug.",multiplug_on
"Turn on the multiplug, I need to use some appliances.",multiplug_on
"I need to plug in some devices, turn on the multiplug.",multiplug_on
"It's time to power down, can you turn off the multiplug?",multiplug_off
"Time to unplug, turn off the multiplug.",multiplug_off
"It's time to disconnect, switch off the multiplug.",multiplug_off
"I want to stop charging, turn off the multiplug.",multiplug_off
"It's time to unplug devices, switch off the multiplug.",multiplug_off
"Turn off the multiplug, I don't need any appliances.",multiplug_off
"I'm done charging, turn off the multiplug.",multiplug_off
"It's time to watch TV, can you turn on the TV?",tv_on
"I want to watch a movie, turn on the TV.",tv_on
"It's time to sleep, can you turn off the TV?",tv_off
"I'm finished watching, turn off the TV.",tv_on
250 Diverse Electric Automation Intent Commands:,tv_on
Can you switch on the lights in the dining room?,light_on
"The hallway is dark, please illuminate it.",light_on
"I can't see anything, turn on the lights.",light_on
Activate the lighting in the garage.,light_on
Time to brighten up the study.,light_on
Can you flip the switch to light up the bathroom?,light_on
"I need better visibility, turn on the lights.",light_on
"It's getting dark in the living room, turn on the lights.",light_on
"Switch on the lights, it's getting difficult to read.",light_on
Illuminate the bedroom.,light_on
Can you switch the lights on in the hallway?,light_on
"The living room is a bit gloomy, please brighten it up.",light_on
"I need some light to see, turn on the lights.",light_on
Activate the lighting in the laundry room.,light_on
It's time to brighten up the space.,light_on
Can you turn on the lights in the guest room?,light_on
"I want to see better, turn on the lights.",light_on
"The porch is dark, turn on the porch lights.",light_on
Turn on the overhead lights in the bedroom.,light_on
Can you switch on the lamps in the living room?,light_on
"It's a bit dim, can you turn on the lights?",light_on
"I need some light to work, turn on the lights.",light_on
Activate the lighting in the basement.,light_on
Time to brighten up this corner.,light_on
Can you flip the switch to light up the attic?,light_on
"It's getting dark in the garden, turn on the garden lights.",light_on
"Switch on the lights, I'm struggling to see.",light_on
Can you turn on the lights in the closet?,light_on
Switch on the table lamp in the living room.,light_on
"I need some light to read, turn on the lights.",light_on
Activate the nightlight in the hallway.,light_on
Time to brighten up the entryway.,light_on
Can you turn on the lights in the pantry?,light_on
"I want to see what's in the fridge, turn on the lights.",light_on
"It's getting dark in the backyard, turn on the backyard lights.",light_on
"Switch on the lights, I'm about to trip.",light_on
Turn on the bedside lamp.,light_on
Switch on the floor lamp in the corner.,light_on
"I need some light to cook, turn on the lights.",light_on
Activate the ceiling lights in the living room.,light_on
Time to brighten up the playroom.,light_on
Can you turn on the lights in the utility room?,light_on
"It's getting dark in the workshop, turn on the lights.",light_on
"Switch on the lights, I'm losing my vision.",light_on
Can you turn on the lights in the guest bathroom?,light_on
Switch on the lamp on the desk.,light_on
Can you switch off the lights in the living room?,light_off
Deactivate the lighting in the hallway.,light_on
Can you switch off the lights in the dining room?,light_off
"It's too bright for me, can you dim the lights?",light_off
"Turn off the lights, I'm going to sleep.",light_off
Deactivate the lighting in the garage.,light_on
"Time to dim the lights, I'm relaxing.",light_off
Can you flip the switch to turn off the lights in the hallway?,light_off
"It's morning, turn off the garden lights.",light_off
"Switch off the lights, I'm heading out.",light_off
Turn off the lights in the study.,light_off
Can you switch off the lights in the laundry room?,light_off
